harga_per_luas_area,jumlah_garasi,jumlah_kamar_tidur,jumlah_kamar_mandi,lokasi,luas_bangunan,luas_tanah,tipe_bangunan
6990000000.0,2.0,5.0,5.0,wanea,400.0,500.0,rumah
3990000000.0,2.0,4.0,4.0,wanea,250.0,300.0,rumah
873000000.0,1.0,2.0,1.0,mapanget,55.0,105.0,rumah
1650000000.0,1.0,3.0,2.0,mapanget,97.0,117.0,rumah
1350000000.0,,,,tikala,,304.0,tanah
25000000000.0,,2.0,,singkil,500.0,7000.0,pabrik
,,,,mapanget,,31000.0,tanah
,,,,tuminting,,60000.0,tanah
17500000000.0,,20.0,1.0,wenang,2000.0,600.0,ruko
3500000.0,,,,mapanget,,11000.0,tanah
6100000000.0,,3.0,3.0,malalayang,295.0,500.0,rumah
,,,,mapanget,,13000.0,tanah
6000000.0,,,,wanea,,3200.0,tanah
25000000.0,,,,sario,,2000.0,tanah
15000000000.0,,,,mapanget,,4000.0,tanah
9000000.0,,,,malalayang,,1575.0,tanah
5800000000.0,,,,tikala,,2000.0,tanah
,,,,wanea,,47000.0,tanah
2000000000.0,,3.0,,mapanget,225.0,75.0,ruko
1000000000.0,,,,singkil,,353.0,tanah
2500000000.0,,,,mapanget,,600.0,tanah
1300000000.0,,2.0,,malalayang,54.0,109.0,ruang usaha
2250000000.0,,2.0,,wenang,200.0,100.0,ruko
999000000.0,,4.0,3.0,wanea,130.0,160.0,rumah
165000000.0,,,,malalayang,,300.0,tanah
1600000000.0,,3.0,2.0,mapanget,86.0,126.0,rumah
175000000.0,,,,mapanget,,303.0,tanah
24000000000.0,,,,mapanget,,4000.0,tanah
30000000000.0,,,,mapanget,,6100.0,tanah
800000000.0,,,,malalayang,,910.0,tanah
3900000.0,,16.0,,wenang,300.0,219.0,ruang usaha
250000000.0,,,,wanea,,392.0,tanah
1200000000.0,,2.0,2.0,wenang,,82.0,apartemen
9000000000.0,3.0,9.0,10.0,malalayang,1000.0,719.0,rumah
1300000000.0,,,,wanea,,300.0,tanah
400000000.0,,,,paal dua,,500.0,tanah
12700000000.0,,,,mapanget,,8648.0,tanah
450000000.0,,,,mapanget,,402.0,tanah
700000000.0,2.0,5.0,4.0,paal dua,250.0,300.0,rumah
300000000.0,1.0,3.0,2.0,mapanget,100.0,150.0,rumah
1800000000.0,1.0,5.0,3.0,mapanget,300.0,600.0,rumah
,,,,mapanget,,60474.0,tanah
400000000.0,,3.0,2.0,malalayang,36.0,400.0,rumah
2200000000.0,,,,mapanget,,1600.0,tanah
1000000.0,,,,tuminting,,50000.0,tanah
1600000000.0,,,,tikala,,750.0,tanah
,,,,paal dua,,1000.0,tanah
1000000.0,,,,paal dua,,1000.0,tanah
,,,,mapanget,,1000.0,tanah
,,,,mapanget,,1000.0,tanah
850000000.0,,,,mapanget,,1100.0,tanah
1180000000.0,1.0,2.0,1.0,mapanget,45.0,160.0,rumah
1350000000.0,2.0,3.0,2.0,mapanget,60.0,160.0,rumah
1600000000.0,2.0,3.0,2.0,mapanget,90.0,185.0,rumah
575000000.0,1.0,3.0,2.0,mapanget,100.0,120.0,rumah
3000000.0,,,,mapanget,,30000.0,tanah
750000000.0,1.0,3.0,3.0,wanea,200.0,734.0,rumah
3250000000.0,1.0,8.0,8.0,bunaken,100.0,240.0,rumah
17500000000.0,,52.0,1.0,wenang,1425.0,475.0,ruang usaha
29500000000.0,,2.0,,mapanget,70.0,2373.0,pabrik
13500000000.0,3.0,12.0,12.0,malalayang,1900.0,2500.0,rumah
1300000000.0,,,,tikala,,304.0,tanah
590000000.0,,,,mapanget,,690.0,tanah
,,,,mapanget,,1000.0,tanah
1200000.0,,,,mapanget,,900.0,tanah
1500000.0,,,,mapanget,,1575.0,tanah
,,,,mapanget,,29000.0,tanah
1600000000.0,,,,tikala,,300.0,tanah
2700000000.0,,,,tikala,,600.0,tanah
1000000.0,,,,mapanget,,12000.0,tanah
669000000.0,1.0,2.0,1.0,wanea,42.0,105.0,rumah
1850000000.0,1.0,4.0,3.0,mapanget,150.0,235.0,rumah
2500000000.0,,4.0,,mapanget,250.0,700.0,ruko
2250000000.0,1.0,5.0,4.0,wanea,200.0,300.0,rumah
2250000000.0,1.0,4.0,3.0,mapanget,110.0,180.0,rumah
1890000000.0,1.0,3.0,3.0,mapanget,80.0,180.0,rumah
4099999999.0,,4.0,3.0,wanea,300.0,450.0,rumah
2220000000.0,1.0,4.0,3.0,mapanget,115.0,154.0,rumah
3600000000.0,,,,wanea,100.0,10000.0,rumah
5500000000.0,,3.0,1.0,tikala,2250.0,3009.0,gudang
7000000000.0,3.0,11.0,8.0,wenang,440.0,615.0,rumah
1250000.0,,,,mapanget,,70000.0,tanah
,,,,mapanget,,5000.0,tanah
1000000.0,,5.0,,malalayang,1000.0,33000.0,ruang usaha
1500000000.0,2.0,3.0,2.0,tikala,287.0,287.0,rumah
,,,,mapanget,,46000.0,tanah
2500000.0,,,,tikala,,4000.0,tanah
147000000000.0,,6.0,,paal dua,15000.0,20000.0,ruko
,,,,mapanget,,240000.0,tanah
800000000.0,,,,malalayang,,600.0,tanah
1500000.0,,,,mapanget,,115000.0,tanah
2750000000.0,1.0,6.0,6.0,mapanget,220.0,200.0,rumah
8990000000.0,2.0,35.0,37.0,paal dua,1000.0,700.0,rumah
6900000.0,,,,malalayang,,1575.0,tanah
900000000.0,2.0,2.0,1.0,mapanget,50.0,105.0,rumah
5140000000.0,2.0,4.0,3.0,mapanget,297.0,300.0,rumah
2000000.0,,,,malalayang,,10000.0,tanah
5500000000.0,1.0,3.0,2.0,malalayang,350.0,500.0,rumah
1500000000.0,2.0,5.0,3.0,malalayang,210.0,483.0,rumah
550000000.0,1.0,3.0,2.0,malalayang,200.0,150.0,rumah
150000000.0,,,,malalayang,,300.0,tanah
1450000000.0,1.0,4.0,2.0,tikala,285.0,152.0,rumah
1500000000.0,2.0,5.0,3.0,malalayang,210.0,483.0,rumah
250000000.0,3.0,2.0,1.0,mapanget,65.0,210.0,rumah
1600000000.0,1.0,6.0,5.0,mapanget,300.0,200.0,rumah
6000000.0,,,,malalayang,,11501.0,ruang usaha
1650000000.0,1.0,4.0,5.0,tikala,400.0,295.0,rumah
8000000000.0,2.0,3.0,3.0,sario,872.0,436.0,rumah
2000000000.0,1.0,4.0,4.0,mapanget,150.0,200.0,rumah
326000000.0,1.0,3.0,1.0,mapanget,84.0,200.0,rumah
578000000.0,1.0,3.0,1.0,mapanget,78.0,129.0,rumah
554000000.0,1.0,3.0,2.0,mapanget,124.0,150.0,rumah
254000000.0,1.0,3.0,2.0,mapanget,93.0,210.0,rumah
586000000.0,1.0,2.0,1.0,wanea,55.0,160.0,rumah
734000000.0,2.0,5.0,3.0,malalayang,178.0,213.0,rumah
1200000000.0,1.0,4.0,2.0,mapanget,155.0,245.0,rumah
1400000000.0,2.0,5.0,3.0,mapanget,300.0,240.0,rumah
475000000.0,1.0,1.0,1.0,mapanget,50.0,75.0,rumah
998000000.0,,2.0,,malalayang,400.0,200.0,ruko
386000000.0,1.0,3.0,1.0,tikala,70.0,150.0,rumah
554000000.0,1.0,3.0,2.0,mapanget,124.0,150.0,rumah
642000000.0,1.0,4.0,2.0,mapanget,136.0,150.0,rumah
466000000.0,1.0,2.0,1.0,wanea,59.0,129.0,rumah
863000000.0,1.0,4.0,2.0,wanea,154.0,145.0,rumah
207000000.0,1.0,2.0,1.0,mapanget,88.0,126.0,rumah
210000000.0,1.0,2.0,1.0,mapanget,51.0,161.0,rumah
512000000.0,1.0,4.0,2.0,tuminting,143.0,293.0,rumah
